Name,Type,Website,Location,City,Hours,Comments,How to Help This Business,Dine-In,Outdoor Dining,Outdoor Recreation,Outdoor Retail,Outdoor Services,Gift Cards,Delivery,Take-Out,Order Online,NoCoNosh,DoorDash,GrubHub,Postmates,Bottles,Cans,Crowlers,Growlers,Product Options,Availability,meta_row_index,meta_row_id,GPS Location
The Parlour Hair Salon,,,309 E Mountain Ave,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,422,c82f870e1e51df9929f8af87600df8d0faa09768,POINT (-105.073676 40.586961)
C & T TIRE AND AUTOMOTIVE,Auto,https://www.candttireautomotive.com/,228 SO LINK LN,Fort Collins,7 TO 5:30 M-F,,How to help this business:,,,,,,,,,,,,,,,,,,,,46,c01ba50e04d0d213b94f8b7a4050bdfe19b58f3e,POINT (-105.050153 40.584708)
Crooked Stave,Brewery,http://www.crookedstave.com/visit-us/foco-tap-list/,216 N College Ave Suite 130,Fort Collins,,Taprooms hours: 12:00-6:00PM DAILY,,,,,,,,,true,,,,,,true,true,true,,"Bottles, Cans, Crowlers",Take-Out,93,a6273ffb40ee4dda6f95234af9872b89f07a3dcb,POINT (-105.076907 40.589597)
Nick's Italian,Restaurant/Bar,http://www.nicksfc.com/,1100 S. College Ave.,Fort Collins,Tuesday- Thursday: 4:30-8:00  Friday & Saturday: 4:30-9:00  Closed Sunday & Monday,"Contact us at 970-631-8301. In house dining, Tues - Thurs 4:30 to 8pm, Fri & Sat 4:30 to 9pm, Closed Sun & Mon. Make reservations through Resy. Order online at nicksfc.com or through NocoNosh delivery. We appreciate you more than you know. Thanks for the support as we come out of our shell.",How to help this business:,,true,,,,,true,,true,,,,,,,,,,"Delivery, Order Online, Outdoor Dining",285,87078eb901eb55abac4ba2cf4997544a79eda9dd,POINT (-105.07696 40.572855)
Poudre River Library District,,,201 Peterson Street,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,326,ffe643a410f1f3c4f747a02bc3eb2c672c4ee2ae,POINT (-105.071917 40.584883)
"Fort Collins Family Eye Care, Vision Performance, EveSpa",Health & Wellness,,"373 West Drake Rd, Ste 3",Fort Collins,,Contact us at 970-223-7150. Open for business Go to website for the most up to date information.,,,,,,,,,,,,,,,,,,,,,152,b3866a10d470829afa320a2a5cec7b588bdd88c9,POINT (-105.083009 40.55256800000001)
Krazy Karl's Elizabeth,Restaurant/Bar,http://www.krazykarlspizza.com/,1124 W. Elizabeth St,Fort Collins,Thurs - Sat 10:30am - 2am,,,,true,,,,,true,true,true,,,,,,,,,,"Delivery, Order Online, Outdoor Dining, Take-Out",228,f57b1d4a835ac697265d83f082a745fd63a1e13c,POINT (-105.09695600000002 40.574645)
Nuance Chocolate,Restaurant/Bar,http://www.NuanceChocolate.com,214 Pine Street,Fort Collins,"M-T: 11 to 7, F: 11 to 8, Sa: 10 to 8. Su: 12 to 4",Bean-to-bar chocolate!,Follow us on social media @nuancechocolate,,true,,,,true,,true,true,,,,,,,,,Gift Cards,"Order Online, Outdoor Dining, Take-Out",290,16dcab215835bdf3e8f252903ce62b6edaf4b442,POINT (-105.076343 40.589257)
Uno Mas Taqueria,Restaurant/Bar,,120 W. Olive St.,Fort Collins,,"Contact us at 970-286-2957. Now open for DINE IN! SUN to THU 11am to 8pm, FRI & SAT 11am to 9pm. Delivery through Noco Nosh and Grubhub and Carry out available. In addition to regular menu items, we have a family meal which includes 20 tortillas, 3 meats or veggie ( sorry no seafood), trio of salsas, full guacamole and chips for $60. To go margs! 1 liter for $40. Individual margs for $5.",,,,,,,,true,true,,,,,true,,,,,,"Delivery, Postmates, Take-Out",449,c210cd10e5d669d808219bd554731bce54588844,POINT (-105.078128 40.584249)
ColorPro Printing,Business & Professional,,"2415 E Mulberry St, #7",Fort Collins,,"Contact us at 970-482-6698. We are pleased to inform you, we are returning to normal business hours 730am to 530pm! We look forward to serving you. We now offer ""curbside pickup service"" for your safety.",,,,,,,,,true,,,,,,,,,,,Take-Out,78,8168f419538a404796eeb3b6838378ac4cd6e6cb,POINT (-105.031733 40.580824)
Mayan Empanadas,,,Delivery only,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,261,57002d25c06b50663c0579dd63291f00515b2ae1,
Best Rental,Business & Professional,,,Fort Collins,,Contact us at 970-282-0700. Open for Business! Store Hours Mon-Fri: 7:30 AM-5:30 PM Sat: 8:00 AM-2:00 PM Sun: Closed,,,,,,,,,,,,,,,,,,,,,29,6044ee41e08945633a438dd766e1de00f621993d,POINT (-105.082459 40.588972)
Jimmy John's,Restaurant/Bar,http://www.jimmyjohns.com,2337 S Shields St,Fort Collins,,"Contact us at 970-493-7500, 970-484-7300, 970-282-1600, 970-484-1405, 970-223-7200. locations are serving customers via delivery, takeout,  and curbside  pick-up service (a drive-thru location as well)",,,,,,,,true,true,,,,,,,,,,,"Delivery, Take-Out",216,7f5e47affeb39de489ce7c313d26767179fb938b,POINT (-105.096041 40.555693)
Wing Shack,Restaurant/Bar,,1011 S Lemay Ave,Fort Collins,,Contact us at 970-631-8067. Hours: 11:00 AM-10:00 PM)  Our restaurants are now open for both curbside pick up and in-store carryout. We are currently working with local health officials to re-open our dining rooms at limited capacity. We are looking forward to having our guests enjoy dining at our stores - in the safest way possible. Delivery provided by NoCO Nosh,,,,,,,,,true,,,,,,,,,,,Take-Out,476,27b6cc1231e20f858c2bce28c774138ec42e9b44,POINT (-105.057857 40.574005)
Harmony Smiles Dentistry,Health & Wellness,,"356 E Harmony Rd, Ste 6A",Fort Collins,,"Contact us at 970-672-4911. During these uncertain times, we urge you to take care of yourself, which also includes seeing your healthcare providers. Our clinicians and team members remain here to assist you with your dental needs and are available to answer any questions you might have. Additional measures to further protect our patients and team members: Pre-Screening: We will communicate with you before your appointment to ask some screening questions. We will ask those same questions upon arrival for your appointment in addition to recording your temperature. If you have a cough, temperature or other symptoms consistent with COVID-19, we will kindly reschedule your appointment. Direct-To-Room: Before your appointment, you have the option to stay in your car instead of the waiting room until we are ready to seat you in your personal operatory. Simply call us upon arrival and we will let you know when we are ready for you. Protect Yourself: We encourage you to utilize our hand sanitizer, wear a mask and continue social distancing for the near term. Mouth Rinse: We could ask you to pre-rinse with peroxide which has anti-fungal, anti-bacterial and anti-viral properties. Team Member Screening: We are also screening our team members twice daily to ensure the safety of patients and team members",,,,,,,,,,,,,,,,,,,,,179,b68514a06329b2bf8b146d85eaa25a47756c45ba,POINT (-105.073597 40.523611)
U.S. Lawns - Fort Collins,Business & Professional,,,Fort Collins,,"Contact us at 970-227-3170. As the nation's largest provider of commercial grounds care, we focus solely on commercial properties, serving property managers and owners. We understand your business, promising national caliber service and 100% responsiveness. And since every U.S. Lawns franchise is locally owned, your grounds are truly an extension of our backyard. From retail to restaurants to office parks to apartment complexes, our mission is to beautify communities and help local businesses grow.",,,,,,,,,,,,,,,,,,,,,444,f8274b0f6f490424caf95598607d7cf99be6a38c,POINT (-105.082459 40.588972)
Pobre Panchos,Restaurant/Bar,https://www.facebook.com/pobre.panchos1802/,1802 N College Ave,Fort Collins,11am-6pm,970-482-0895,,,,,,,true,,true,,,,,,,,,,Gift Cards,Take-Out,322,ac997935503c55e55260a4493496f794dedaedf8,POINT (-105.07645 40.611014)
Smoothie King,Restaurant/Bar,,2860 East Harmony Rd,Fort Collins,,call in or order on the app,,,,,,,,,,,,true,,,,,,,,DoorDash,377,3860931a155a4ade5d059b6bdfd7d88b27d2030a,POINT (-105.025234 40.523326000000004)
Magic Rat,,,111 Chestnut Street Firehouse Alley,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,253,035015fc437e1d39e127c3f89a41f344bd04a4bc,
everHuman,Business & Professional,http://www.everhuman.io/,"301 S. Howes St., PO Box 606",Fort Collins,By appointment,,"Support your digitally-challenged loved ones by purchasing our signature course, Triumph Over Technology, for them. It is a stress-free technology overview to support those who struggle keeping up in the digital age.  Visit https://www.everhuman.io/About-Triumph-Over-Technology to learn more.",,,,,,,,,true,,,,,,,,,,Order Online,486,c7e31075b16152f1fd1ac026ed3e722cd6acef12,POINT (-105.080677 40.583559)
Darvier Jewelry,,,"172 North College Avenue, Suite F",Fort Collins,,,,,,,,,,,,,,,,,,,,,,,106,058ef4c2180810767e37fe910665b3ab64e3f592,POINT (-105.076922 40.588493)
The Right Card,,,17 Old Town Square,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,425,e20002c5ab5b6fb3555e2610f7cc2b4ee597aa9b,POINT (-105.07568 40.587766)
University Center for the Arts,,,1400 Remington,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,448,8f03f9510a93feec94d84fb208599c40805967cf,POINT (-105.075621 40.569998)
Light Center,Retail,http://www.Lightcenterinc.com,2725 S College Ave,Fort Collins,Monday - Saturday 9a-5p,"Contact us at 970-364-3944. Our showroom is now open and newly designed. Call us at (970) 364-3944 or email sales@lightcenterinc.com if you are in need of any assistance. During this time, safe pick up and delivery services are still available. You can now shop much of our inventory online! Electrician and construction services remain open.","1. Spread the word that we have a fantastic gift selection in stock! Chess sets, lava lamps, unique candles, specialty lights, etc. We can do virtual design or gift shopping appointments. 2. Share a contract sales connection - we are looking for someone to sell our UV light boxes for sanitization. 3. Follow us on social media: Instagram - www.instagram.com/lightcenterinc/. & Facebook - www.facebook.com/LightCenterInc/.",,,,,,true,true,true,true,,,,,,,,,Gift Cards,"Delivery, Order Online, Take-Out",238,3076254e27de977a3f0d5b137644bf77f96d1ec4,
Eldorado Natural Spring Water,Business & Professional,,1783 Dogwood Street,Louisville,,"Contact us at 303-995-8130. Providing prompt and efficient delivery of various products. By the way, Eldorado is a 7 time national and international award winning water for taste and quality. Please call if you have any questions regarding custom labels or our delivery plans, as low as $19.95 per month",,,,,,,,true,,,,,,,,,,,,Delivery,121,028268781768fb2812520bf57a3d32b435161dcb,POINT (-105.117095 39.966651)
Restaurant 415,Restaurant/Bar,http://www.thefourfifteen.com/,415 S Mason,Fort Collins,Monday:  CLOSED  Tuesday:  11:00 AM - 10:00 PM  Wednesday:  11:00 AM - 10:00 PM  Thursday:  11:00 AM - 10:00 PM  Friday:  11:00 AM - 10:00 PM  Saturday:  11:00 AM - 10:00 PM  Sunday:  11:00 AM - 9:00 PM,"Contact us at 970-407-0415. Indside dining available, and heated patio. Reservations are welcome. Also offering take out and curbside pickup. Open 11am - 8pm Tuesday - Sunday, closed on Monday. (970) 407-0415",How to help this business:,,true,,,,,,true,,,,,,,,,,,"Outdoor Dining, Take-Out",349,15f0b759fe7c209f5d79681f7beef20135c38c57,POINT (-105.078975 40.582355)
Comfort Dental Fort Collins,Health & Wellness,https://comfortdental.com/dentist-fort-collins/,934 S Lemay,Fort Collins,8AM-5PM,,We are open for dental emergencies & have a dentist on-call,,,,,,,,,,,,,,,,,,,,84,b899c9dba24f9b96724e88a3c0caea15d0df081e,POINT (-105.057849 40.574926000000005)
SERVPRO of Fort Collins,Business & Professional,,308 N Link Ln,Fort Collins,,Contact us at 970-237-0421. Professionals are uniquely prepared during this unprecedented time to clean and disinfect your home or business according to the protocols set forth by the CDC. More information is here or contact Craig Capitelli at 970-237-0421.,,,,,,,,,,,,,,,,,,,,,354,46ea620311a836ea8955901cf7ba9f3b5d4deb8a,POINT (-105.048588 40.589195)
Young Peoples Learning Center,"Family, Community, and Non-Profit",,209 E Plum St,Fort Collins,,"Contact us at 970-482-1212. Open and accepting new children. We have modified classroom practices and group sizes.  Only 10 bodies per room/space, no movement of teachers or kids throughout classrooms during the day, extreme disinfecting procedures several times a day, etc. We have adjusted the operating hours of the school to 7:30 am to 5:30 pm each day.  Let is know if you need care!  We serve kids (currently) from ages 12 months to 15 years.  School agers will get help with their school work!",,,,,,,,,,,,,,,,,,,,,481,b4f0e5eb4c86b9f907152cf46723a569c677ed60,POINT (-105.074863 40.576708)
Foco Doco,Restaurant/Bar,,234 N. College Ave a1,Fort Collins,,"Contact us at 970-689-8978. We are open for pick up & delivery (through NoCoNosh). Store hours Mon-Fri. 7am-5pm, Sat & Sun. 8am-5pm",,,,,,,,true,true,,,,,,,,,,,"Delivery, Take-Out",147,9113a02eb3fda2560fe75b8faacd1c86e8b44f65,POINT (-105.07690500000001 40.589767)
Talon/LPE,Business & Professional,,1811 E Mulberry St,Fort Collins,,Contact us at 970-818-5330. Still operating and also providing virus disinfection services. We are operating on a flexible schedule to disinfect around slow periods for businesses so we don't affect their ability to remain open. More info can be found here.,,,,,,,,,,,,,,,,,,,,,398,5024b15c302786060616e2bfb8ae8772b0481695,POINT (-105.04377 40.58062)
Nekter Juice Bar,Restaurant/Bar,,3260 S. College Ave Unit 130,Fort Collins,,"Contact us at 970-893-4895. Open for dine-in, take out, or delivery. Open 8am to 6pm everyday.",,,,,,,,true,true,,,,,,,,,,,"Delivery, Take-Out",281,dee75df6b43de8d5939504f082664d945e40a339,POINT (-105.07694200000002 40.54264800000001)
Chapel & Collins Wealth Management,Financial,,,Fort Collins,,Contact us at 970-204-1376. Offering high caliber financial planning to Northern Colorado,,,,,,,,,,,,,,,,,,,,,61,6ffa5c62eb8b3939aa923efdc6cfd6dfc0378a0f,POINT (-105.082459 40.588972)
Justine's Pizza,Restaurant/Bar,http://orderjustines.com/,1015 S Taft Hill Rd Unit I,Fort Collins,Mon-Sat 4-9pm; Sun 4-8pm,970-225-1950,,,,,,,,,,,true,,,,,,,,,NoCoNosh,221,3fd12baac1f33aa5fc43dbeae5001d4ae4bbe353,POINT (-105.11502700000001 40.573554)
Old Firehouse Books,Retail,http://www.oldfirehousebooks.com/,232 Walnut Street,Fort Collins,"10-2 Monday to Friday,  10-4 Saturday and Sunday","Contact us at 970-484-7898. Back to Browsing! Open to Browsing from 10 am-2 pm! 5 Customers at a time, masks required, put everything you touch in the basket for sanitizing. We are not excepting cash at the moment. Curbside pick-up available from 10-2. Home delivery on Wed, Fri, Sun. Shipping is still the safest method!","Support local business, shop early, give a gift card",,,,,,true,true,true,true,,,,,,,,,Gift Cards,"Delivery, Order Online, Take-Out",294,8e01c4ad16060b9648da01a8d4ed297fdeb53889,POINT (-105.07595 40.588455)
Vern's Place,Restaurant/Bar,,4120 W. County Rd. 54G,Laporte,,"Contact us at 970-482-5511. Offering dine-in, and curbside pickup. Open Tues-Wed 8am-2pm, Thur 8am-7pm, Fri-Sat 8am-8pm, Sun 8am-7pm, Mon Closed",,,,,,,,,true,,,,,,,,,,,Take-Out,454,62ba12827b7846e1ca3f152489688c3ec4409273,POINT (-105.15409 40.632735)
Exchange businesses,Restaurant/Bar,,19 Old Town Square # 238,Fort Collins,,Open for business with protocols in place. Please visit their individual website https://theexchangefortcollins.com/,,,,,,,,,,,,,,,,,,,,,132,1b22049c93b7d5df37415d2f68a3f3853b337463,POINT (-105.07568 40.587766)
Taco Bell,Restaurant/Bar,,,Fort Collins,,,,,,,,,,,,,,,true,true,,,,,,"GrubHub, Postmates",397,56e63967a0048361545061afe8035f48cd184483,POINT (-105.082459 40.588972)
CooperSmith's Pub & Brewing,,,# 5 Old Town Square,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,89,c124392e905d615984a7f039be57f4ff1fd429a5,
Mobb Mountain Distillers,Restaurant/Bar,http://mobbmountain.com,400 Linden,Fort Collins,"3-8 Tuesday-Friday, 12-8 Saturday/Sunday",,"Business shoutouts, collaborations, trades info@mobbmountain.com  Follow us on instagram.com/mobbmountain & Facebook.com/mobbmountaindistillers",,true,,,,true,true,true,true,,,,,,,,,Gift Cards,"Delivery, Order Online, Outdoor Dining, Take-Out",270,c41d9683573451a7e44fee7796500f6b546e7d22,POINT (-105.072677 40.590342)
Eyecare Associates,Health & Wellness,,"702 W Drake Rd, Bldg B",Fort Collins,,"Contact us at 970-221-4811. During this unprecedented time in which we are keeping our distance for the health and safety of our families and friends, we recognize that there are essential needs in which we cannot be without. This includes our vision and eye health. If you have an urgent eye issue - we can help! Call our office at (970) 221-4811 and we will get you the care you need! In some cases, we can use telehealth services so that you can work with our doctor's using a variety of video and telecommunication platforms depending on your needs.",,,,,,,,,,,,,,,,,,,,,133,0002fbc2274522ba733d9a30d95552239e7f9287,POINT (-105.08964100000001 40.55275)
The Exchange,,,200 BLOCK OF NORTH COLLEGE,Fort Collins,,,,,,,,,,,,,,,,,,,,,,,412,75901ca4c7ea7b9ed6ed46b5434e961601088226,
